SnapShotId,CommentType,CourseId,UserId,Skip,Size,SkipThread,SizeThread
42015,Course,5140,92325,2,8,1,10
36659,Course,4604,53067,1,7,1,2
35021,Course,4440,81168,2,9,0,5
54884,Course,6427,93779,2,6,1,10
88793,Course,9817,64613,0,10,0,10
70698,Course,8008,67064,3,5,0,2
71137,Course,8052,58405,1,2,0,9
57623,Course,6700,52407,3,6,0,7
21301,Course,3068,88709,3,4,0,4
23335,Course,3272,53075,0,9,0,3
18089,Course,2747,56551,2,7,0,6
64188,Course,7357,97287,3,3,0,10
34943,Course,4432,64030,3,3,1,6
103653,Course,11303,84579,3,10,0,8
6555,Course,1593,98063,0,3,0,3
39158,Course,4854,52710,3,8,0,5
20753,Course,3013,63300,3,8,1,10
38266,Course,4765,96956,2,3,0,7
44777,Course,5416,60615,1,4,0,4
85779,Course,9516,59707,0,3,0,8
65262,Course,7464,58996,2,9,0,3
43736,Course,5312,51718,1,10,0,3
51086,Course,6047,67330,1,2,0,4
93514,Course,10290,61252,2,8,0,3
72186,Course,8157,78954,2,7,0,8
12579,Course,2196,70297,1,6,0,5
45551,Course,5493,76366,1,2,0,9
94025,Course,10341,77905,0,3,1,8
17949,Course,2733,78845,3,10,0,10
14204,Course,2359,85923,1,2,0,2
15871,Course,2525,66515,3,6,0,10
61274,Course,7066,83481,2,10,0,8
99280,Course,10866,89155,0,7,0,3
90522,Course,9990,81027,0,7,0,7
68385,Course,7777,93131,1,10,0,5
59152,Course,6853,59058,3,6,0,6
52271,Course,6165,90922,2,3,0,6
25706,Course,3509,93153,0,2,0,4
83000,Course,9238,69127,2,6,0,4
22964,Course,3235,68966,0,8,0,10
96239,Course,10562,83757,1,3,0,2
40211,Course,4959,96274,3,4,0,9
41612,Course,5099,94986,2,7,0,2
13064,Course,2245,88827,3,9,0,5
26272,Course,3565,61973,3,9,0,7
59690,Course,6907,83007,2,6,0,6
22958,Course,3234,91382,3,10,0,5
5722,Course,1510,76399,2,9,0,2
14795,Course,2418,55335,1,6,0,4
76335,Course,8572,77927,3,3,0,8
15050,Course,2443,55269,3,6,0,6
73782,Course,8316,81215,2,4,0,8
3788,Course,1317,54370,2,3,0,8
13078,Course,2246,56997,0,9,0,5
38298,Course,4768,76697,0,2,0,3
78472,Course,8785,51967,0,8,0,5
93603,Course,10298,85194,1,8,0,8
19784,Course,2917,73076,2,2,0,5
1458,Course,1084,61487,1,3,0,4
82184,Course,9157,79727,2,5,0,7
32510,Course,4189,88478,3,5,0,5
5510,Course,1489,75174,3,2,0,8
60100,Course,6948,52065,0,7,0,2
71567,Course,8095,60128,3,10,0,8
30838,Course,4022,57001,1,7,0,9
16995,Course,2638,52631,3,7,0,5
30733,Course,4011,91051,0,6,0,6
72200,Course,8158,81912,2,8,0,10
94865,Course,10425,84618,2,10,0,4
14298,Course,2368,69123,1,8,0,7
33091,Course,4247,91067,0,6,0,2
89278,Course,9866,50966,1,4,0,6
49912,Course,5929,57163,1,2,1,9
75630,Course,8501,97355,1,6,0,4
67601,Course,7698,91471,2,2,0,3
60101,Course,6948,90209,0,7,0,4
3774,Course,1315,81443,2,3,0,5
52348,Course,6173,81719,0,7,0,6
83624,Course,9301,90875,0,2,0,10
110290,Course,11967,93268,1,9,0,3
24114,Course,3350,75866,1,9,0,6
3813,Course,1319,89208,0,10,0,4
4854,Course,1423,91948,3,3,1,7
39168,Course,4855,86464,3,8,0,2
9172,Course,1855,90717,3,3,0,6
82003,Course,9138,87386,2,2,0,2
88583,Course,9796,94688,1,6,0,9
3078,Course,1246,53940,1,6,0,4
50658,Course,6004,56044,3,3,0,6
36476,Course,4586,62869,0,8,0,8
14560,Course,2394,87074,2,7,0,3
57672,Course,6705,77100,1,4,0,9
104228,Course,11361,97281,0,6,0,4
94841,Course,10422,69558,0,6,0,9
4721,Course,1410,82163,1,10,0,10
29985,Course,3937,93701,3,9,0,10
3973,Course,1335,82308,1,6,1,2
73114,Course,8250,94678,2,10,0,10
37391,Course,4677,69650,2,5,0,7
34036,Course,4342,53846,1,3,0,3
64317,Course,7370,54287,2,10,0,3
65533,Course,7491,98468,1,10,0,10
50112,Course,5949,90435,0,4,0,5
71001,Course,8038,52692,2,4,0,2
101815,Course,11120,61723,3,3,0,3
47334,Course,5672,62865,3,3,0,6
43519,Course,5290,66438,2,2,1,10
41637,Course,5102,61430,1,3,0,8
104304,Course,11369,70908,1,3,0,2
91996,Course,10138,61658,1,2,0,5
23980,Course,3336,83905,1,2,0,5
45199,Course,5458,83988,3,7,0,7
28691,Course,3807,53187,1,9,0,7
93536,Course,10292,53635,2,4,0,9
24236,Course,3362,91185,1,9,0,8
88229,Course,9761,68688,2,4,0,9
65618,Course,7500,51241,3,7,0,3
57580,Course,6696,57692,3,6,0,8
12114,Course,2150,77781,1,9,0,5
102094,Course,11148,68058,2,4,0,8
76243,Course,8562,80028,0,3,0,5
31492,Course,4087,94651,1,3,0,4
43506,Course,5289,90159,1,3,1,7
89573,Course,9895,79073,0,7,0,5
42126,Course,5151,71221,1,4,0,8
107851,Course,11723,82453,2,2,0,10
71458,Course,8084,53971,2,5,0,10
91742,Course,10112,80759,0,2,0,2
17245,Course,2663,76821,2,8,0,10
14927,Course,2431,73742,1,4,0,2
19293,Course,2867,88915,3,7,0,8
81720,Course,9110,53716,0,7,0,5
39581,Course,4896,77719,3,2,0,7
14432,Course,2381,60896,0,6,0,10
49506,Course,5889,82830,0,9,0,10
1106,Course,1048,64445,3,4,0,3
105597,Course,11498,72433,1,2,0,6
97926,Course,10731,60783,2,5,0,8
103665,Course,11305,78736,1,3,0,5
25962,Course,3534,91157,0,3,0,7
77234,Course,8662,61571,0,7,0,2
83152,Course,9253,61894,3,2,0,2
91713,Course,10109,91240,3,9,0,5
83027,Course,9241,52517,2,4,0,2
802,Course,1018,97871,3,2,0,10
41227,Course,5061,56213,1,4,0,2
64911,Course,7429,60832,0,7,0,3
104896,Course,11428,76585,1,2,0,9
18989,Course,2837,97535,1,9,0,2
64391,Course,7377,89352,1,4,0,6
10123,Course,1950,56083,0,6,0,5
24063,Course,3344,90286,0,5,0,4
47272,Course,5665,61902,1,2,0,3
55973,Course,6535,97734,2,4,0,10
63552,Course,7293,88649,1,3,0,7
30661,Course,4004,77278,0,5,0,9
13165,Course,2255,69933,2,8,0,5
28914,Course,3830,53281,0,10,1,8
88555,Course,9794,82389,2,10,0,8
62238,Course,7162,69650,1,9,0,4
29901,Course,3928,60189,3,10,0,7
93941,Course,10332,50511,0,9,0,3
46983,Course,5636,60300,1,9,0,8
51532,Course,6091,59954,3,9,0,2
26205,Course,3559,82518,1,8,0,4
74956,Course,8434,83406,0,8,0,5
13775,Course,2316,69421,1,3,0,4
85816,Course,9520,66853,1,3,0,6
31835,Course,4122,67346,2,3,0,6
110245,Course,11963,52499,2,2,0,3
10639,Course,2002,84277,1,8,0,2
41958,Course,5134,96366,0,10,0,5
23601,Course,3298,80961,0,2,0,8
70242,Course,7962,57128,0,6,0,5
84785,Course,9417,53577,1,4,0,9
79104,Course,8849,51113,2,2,0,8
42376,Course,5176,57818,0,9,0,10
76670,Course,8605,70570,1,7,0,6
35703,Course,4508,95756,0,5,0,8
81352,Course,9073,60941,2,8,0,9
42858,Course,5224,95990,0,4,0,10
69363,Course,7874,64798,3,10,0,3
77878,Course,8726,52617,0,7,0,5
952,Course,1033,57212,0,5,0,2
7224,Course,1660,91771,0,10,0,3
76010,Course,8539,55989,3,4,0,4
2896,Course,1227,60650,2,10,0,2
38039,Course,4742,90569,0,2,0,8
109909,Course,11929,66013,3,6,0,2
96691,Course,10607,93331,2,8,0,7
82618,Course,9200,81678,1,4,0,10
97818,Course,10720,65957,2,4,0,7
9306,Course,1868,76432,2,7,0,3
80779,Course,9016,66885,0,8,0,6
18164,Course,2755,59093,1,5,0,9
22324,Course,3171,96673,3,4,0,3
53703,Course,6308,90598,3,10,0,9
31615,Course,4100,67221,0,8,0,10
86280,Course,9566,63926,3,9,0,5
92589,Course,10197,65098,1,9,0,3
108169,Course,11755,85402,0,8,0,7
76688,Course,8607,75496,0,4,0,7
91612,Course,10099,64927,3,9,0,2
103563,Course,11294,61027,0,9,0,2
60760,Course,7014,93995,3,5,1,4
98230,Course,10761,50394,1,9,0,7
34103,Course,4348,66806,3,9,0,2
22885,Course,3227,69652,0,2,0,6
17871,Course,2725,81140,1,6,0,3
91062,Course,10044,78723,2,7,0,6
28605,Course,3799,75811,0,6,0,8
19165,Course,2855,92969,3,6,0,7
4164,Course,1354,60765,3,2,0,5
49422,Course,5880,60663,3,2,1,2
49581,Course,5896,74737,1,3,0,7
81158,Course,9054,62374,2,6,0,5
55755,Course,6514,81220,3,10,0,8
66364,Course,7575,78655,0,5,0,2
102397,Course,11178,83667,0,6,0,4
88429,Course,9781,66153,0,6,0,8
18315,Course,2770,68006,1,7,0,10
65040,Course,7442,81938,3,8,0,3
89487,Course,9887,65780,2,6,0,8
60928,Course,7031,78227,2,9,0,4
63036,Course,7242,68092,3,6,0,8
24555,Course,3394,57981,2,6,0,10
15616,Course,2500,91555,2,2,0,4
64269,Course,7365,58900,0,8,1,6
94569,Course,10395,96226,1,6,0,5
91734,Course,10112,52882,2,3,0,6
94721,Course,10410,70117,3,6,0,3
40113,Course,4949,68935,0,7,1,7
97876,Course,10726,81340,0,2,0,3
77126,Course,8651,71570,2,2,0,3
55571,Course,6495,78992,0,7,0,3
104073,Course,11345,62790,1,5,0,10
43591,Course,5297,68664,0,4,0,7
74913,Course,8429,59854,1,9,0,3
82415,Course,9180,69124,2,8,0,5
73158,Course,8254,71329,1,6,0,6
48615,Course,5800,94608,1,9,0,9
45366,Course,5475,77504,2,10,0,8
31777,Course,4116,93623,1,7,0,7
16987,Course,2637,93340,1,5,0,5
47243,Course,5662,88404,2,8,0,4
39201,Course,4858,93958,2,5,0,7
84657,Course,9404,67303,2,5,0,10
62748,Course,7213,51620,3,5,0,3
98773,Course,10815,60055,2,8,0,6
87539,Course,9692,68978,2,7,0,7
20474,Course,2986,85921,0,8,0,10
54143,Course,6352,53344,3,9,0,3
89541,Course,9892,53535,0,5,0,2
21318,Course,3070,97574,1,2,0,3
8157,Course,1753,77145,2,4,0,8
59782,Course,6916,91765,3,8,0,7
38455,Course,4784,91488,2,3,0,10
95950,Course,10533,64067,1,10,1,6
53604,Course,6299,52620,1,8,0,2
103009,Course,11239,87969,1,2,0,10
24691,Course,3407,59618,3,3,0,4
28029,Course,3741,94313,1,4,0,7
86692,Course,9607,51531,2,8,1,2
48460,Course,5784,86691,2,9,0,6
47915,Course,5730,65375,2,10,0,9
57482,Course,6686,69652,2,7,0,7
55702,Course,6508,64589,0,7,0,3
38078,Course,4746,92030,2,8,0,8
77630,Course,8701,68199,3,5,0,10
39035,Course,4842,57993,0,5,0,5
34132,Course,4351,93093,0,10,0,2
37007,Course,4639,95723,3,4,0,10
109019,Course,11840,77815,1,3,0,7
81380,Course,9076,54287,3,2,0,9
82644,Course,9203,83734,3,6,1,7
37142,Course,4652,81400,1,9,0,3
33970,Course,4335,78130,1,6,0,2
11056,Course,2044,80199,3,8,1,5
81125,Course,9051,64634,0,4,0,6
78383,Course,8776,79087,1,3,0,8
50136,Course,5952,96695,3,10,0,3
103599,Course,11298,62078,2,4,0,9
68838,Course,7822,73792,2,3,0,3
32217,Course,4160,75606,0,5,0,2
24991,Course,3437,56284,0,8,1,10
36279,Course,4566,70350,2,8,0,3
95840,Course,10522,98406,3,2,0,6
39198,Course,4858,88431,2,4,0,10
16206,Course,2559,58423,1,4,0,10
43059,Course,5244,64066,2,3,0,2
33240,Course,4262,58336,3,9,0,10
71160,Course,8054,63403,1,5,0,10
27723,Course,3710,67540,1,3,0,10
5472,Course,1485,88557,3,5,0,7
40516,Course,4990,59038,0,2,0,5
103812,Course,11319,69794,3,8,0,6
55491,Course,6487,90061,2,4,0,3
20247,Course,2963,62397,0,4,0,2
17286,Course,2667,95215,3,2,0,6
18671,Course,2805,71154,1,10,0,4
24551,Course,3393,51426,1,5,0,10
102646,Course,11203,54280,0,3,0,2
41611,Course,5099,74256,0,8,0,6
99521,Course,10890,98394,2,2,0,7
74290,Course,8367,92511,1,4,0,5
16510,Course,2589,60036,2,6,0,8
20741,Course,3012,90979,1,7,0,8
90798,Course,10018,79133,2,10,0,10
11969,Course,2135,92791,2,8,0,7
83782,Course,9316,52161,2,3,0,10
25208,Course,3459,88340,1,2,0,8
7411,Course,1679,70727,1,9,0,6
76020,Course,8540,65901,2,8,0,10
30155,Course,3954,58278,2,7,0,5
20769,Course,3015,85883,2,5,0,7
43891,Course,5327,86078,1,8,0,8
28795,Course,3818,82884,0,2,0,10
40015,Course,4940,52035,1,10,0,10
15866,Course,2525,94148,0,9,0,5
45669,Course,5505,52500,2,2,0,9
104848,Course,11423,53580,3,4,0,3
38119,Course,4750,74719,2,5,0,10
22517,Course,3190,97445,0,3,0,9
65024,Course,7441,84572,0,6,0,6
61045,Course,7043,67661,3,5,0,5
107608,Course,11699,72135,2,6,1,4
19629,Course,2901,81032,1,6,0,5
12749,Course,2213,81246,1,4,0,9
72292,Course,8167,93625,2,10,0,8
100764,Course,11015,85459,1,6,0,10
67923,Course,7730,51015,1,6,0,4
58443,Course,6782,95744,3,5,0,2
106570,Course,11595,80040,0,4,0,5
1267,Course,1064,71962,2,7,0,10
75507,Course,8489,77693,3,6,0,8
73723,Course,8310,71125,2,7,0,9
1030,Course,1041,94996,2,10,0,10
65057,Course,7444,89178,2,5,0,5
64909,Course,7429,83625,1,4,0,6
74260,Course,8364,80401,1,10,0,8
57271,Course,6665,95946,1,6,0,8
21896,Course,3128,69769,3,8,1,6
108495,Course,11788,73402,0,9,0,2
19122,Course,2850,54741,3,4,0,5
95660,Course,10504,80393,2,7,0,10
60263,Course,6964,89912,0,7,0,5
6384,Course,1576,56556,3,5,0,7
62827,Course,7221,89876,1,10,0,8
15304,Course,2469,85225,2,4,0,6
106161,Course,11554,74669,0,6,0,9
59205,Course,6859,61661,2,10,0,2
57197,Course,6658,83157,1,3,0,10
82330,Course,9171,90686,3,2,0,10
59670,Course,6905,84850,1,2,0,10
2520,Course,1190,55764,2,8,0,2
50001,Course,5938,77545,2,9,0,4
51235,Course,6062,91786,1,10,0,2
49899,Course,5928,88597,0,3,1,6
23703,Course,3308,84500,3,2,0,8
56945,Course,6633,55202,1,8,1,10
21310,Course,3069,76316,3,7,0,10
34768,Course,4415,87229,3,8,0,2
36790,Course,4617,50224,2,4,0,3
40436,Course,4982,59334,2,5,0,6
50949,Course,6033,56618,3,2,0,6
33222,Course,4260,75000,2,10,0,5
66547,Course,7593,83547,0,4,0,6
29709,Course,3909,77064,2,10,0,4
82636,Course,9202,74881,0,8,0,6
91015,Course,10040,66338,0,7,0,9
20058,Course,2944,66766,0,8,0,10
33415,Course,4280,51835,3,8,0,3
62014,Course,7140,59003,2,6,0,4
107011,Course,11639,50663,2,2,0,10
71847,Course,8123,82265,1,6,0,4
2314,Course,1169,80021,1,7,0,7
64450,Course,7383,92697,3,4,0,8
9410,Course,1879,69159,0,9,0,3
9223,Course,1860,81038,2,9,0,9
107560,Course,11694,64743,1,3,0,5
4098,Course,1348,60210,0,3,0,8
24093,Course,3347,84145,1,3,0,6
92399,Course,10178,94043,2,6,0,9
84455,Course,9384,87661,1,10,0,2
105573,Course,11495,95623,2,10,0,2
21728,Course,3111,57057,0,7,0,8
44176,Course,5356,53640,3,7,0,8
8791,Course,1817,92098,3,8,0,10
102282,Course,11166,51797,1,6,0,3
9164,Course,1854,83039,1,8,0,4
48383,Course,5776,60057,2,6,0,5
20061,Course,2944,86549,0,7,0,6
10752,Course,2013,61708,1,3,0,10
59466,Course,6885,74042,1,3,0,5
53261,Course,6264,53333,2,6,0,6
5089,Course,1447,65403,2,8,1,9
86310,Course,9569,93448,0,3,0,4
75406,Course,8479,84971,3,5,0,5
65787,Course,7517,51754,0,4,0,10
107766,Course,11715,61990,1,2,0,2
84096,Course,9348,88813,1,2,0,9
26787,Course,3617,76986,3,9,0,2
17285,Course,2667,90447,1,8,0,3
88155,Course,9754,72751,1,7,0,6
46317,Course,5570,70594,0,8,0,5
8102,Course,1748,65713,3,9,0,10
89365,Course,9875,69073,0,8,0,2
63642,Course,7302,75361,3,5,0,9
86995,Course,9638,82901,0,9,0,4
54913,Course,6429,83836,0,3,0,6
104433,Course,11381,92938,1,4,0,4
57709,Course,6709,71122,1,4,0,7
23572,Course,3295,80237,0,4,0,4
12188,Course,2157,55890,2,9,1,3
40599,Course,4998,56726,1,5,0,9
12107,Course,2149,73484,2,2,1,7
2090,Course,1147,96681,0,8,0,6
103368,Course,11275,61892,2,2,0,7
103751,Course,11313,88256,0,5,0,9
66590,Course,7597,81243,0,4,1,2
4998,Course,1438,73319,2,5,0,2
20005,Course,2939,83078,3,3,0,4
32125,Course,4151,83497,2,6,0,10
12026,Course,2141,56567,3,2,0,2
31351,Course,4073,75955,2,10,0,5
92659,Course,10204,94869,2,10,0,6
50837,Course,6022,58044,3,4,0,3
101436,Course,11082,66581,0,3,0,7
39538,Course,4892,53735,0,10,0,9
109479,Course,11886,77344,3,3,0,9
100942,Course,11032,93567,3,3,1,6
54636,Course,6402,69768,3,7,0,9
81102,Course,9048,66510,1,5,0,7
59838,Course,6922,64671,1,8,0,6
105058,Course,11444,71520,1,6,0,9
25939,Course,3532,71696,3,5,0,8
42904,Course,5229,64101,0,2,0,3
14967,Course,2435,62883,2,9,0,8
67172,Course,7655,50745,2,10,0,9
23100,Course,3248,62509,0,5,0,5
30283,Course,3966,53587,2,9,0,10
56612,Course,6599,89257,1,10,0,6
42826,Course,5221,63515,3,10,0,6
39568,Course,4895,61252,2,10,0,8
48819,Course,5820,58853,1,5,0,8
6324,Course,1570,84159,3,10,0,2
69226,Course,7861,92371,1,9,0,2
39342,Course,4872,84635,3,4,0,7
73630,Course,8301,96041,3,4,0,9
11571,Course,2095,94238,3,9,0,6
26049,Course,3543,66492,1,5,0,10
50493,Course,5987,92408,3,10,0,7
77785,Course,8717,53237,2,5,0,4
13564,Course,2295,98400,1,2,0,10
44157,Course,5354,74122,1,3,0,10
19489,Course,2887,69356,0,6,0,2
63694,Course,7308,88863,0,3,0,3
28629,Course,3801,82283,2,2,0,9
60170,Course,6955,74766,3,8,0,7
56905,Course,6629,84299,2,6,0,8
89944,Course,9933,77108,0,7,0,10
60985,Course,7037,51273,3,10,0,4
90318,Course,9970,68416,2,9,0,4
98172,Course,10755,59358,0,7,0,7
38451,Course,4783,58515,1,8,0,5
78571,Course,8795,58033,2,9,0,2
22803,Course,3218,67485,1,6,0,7
110152,Course,11953,60330,1,4,0,8
84358,Course,9374,70770,1,7,0,8
61884,Course,7127,56979,1,7,0,4
100564,Course,10995,93156,0,10,0,5
64736,Course,7412,73804,0,4,0,10
72906,Course,8229,52420,2,6,0,9
66731,Course,7611,54690,0,10,0,4
99396,Course,10878,77689,0,10,0,8
29608,Course,3899,52777,0,3,0,3
61671,Course,7105,75651,2,2,0,6
27867,Course,3725,52868,3,4,0,7
71919,Course,8130,76589,2,5,0,7
24375,Course,3376,56526,3,9,0,9
47045,Course,5643,73269,1,10,0,7
74457,Course,8384,55982,3,7,0,5
52876,Course,6226,73796,1,9,0,8
88276,Course,9766,76419,1,3,0,5
31494,Course,4088,83307,0,8,0,10
6629,Course,1601,74940,3,7,1,8
57275,Course,6666,84782,3,9,0,6
75856,Course,8524,90596,1,3,0,7
89346,Course,9873,68443,0,9,0,2
19001,Course,2838,77911,0,10,0,2
30819,Course,4020,71733,0,4,0,8
93734,Course,10312,51664,0,9,0,4
35228,Course,4461,77557,3,4,0,3
14851,Course,2423,78357,0,5,0,4
53013,Course,6239,57893,3,3,1,9
22084,Course,3147,71726,1,2,0,2
52762,Course,6214,83762,0,2,0,2
47686,Course,5707,79348,3,4,0,9
79774,Course,8916,59379,0,9,0,9
23355,Course,3274,77514,0,6,0,2
2281,Course,1166,87480,2,4,0,5
24814,Course,3420,70330,3,8,0,5
76737,Course,8612,60561,3,10,0,5
80093,Course,8947,78199,1,5,0,3
15405,Course,2479,83874,0,8,0,7
44315,Course,5370,91079,1,5,0,3
48784,Course,5817,77865,2,4,0,7
42272,Course,5165,76404,3,7,0,2
85353,Course,9473,96713,2,8,0,6
15167,Course,2455,50277,1,10,0,5
102236,Course,11162,69579,0,5,0,4
73310,Course,8269,91926,2,9,0,3
2399,Course,1178,56795,1,3,0,6
52911,Course,6229,86787,3,3,1,4
17448,Course,2683,64841,3,10,0,8
4864,Course,1424,52326,2,4,0,10
15451,Course,2483,61866,0,10,1,6
105509,Course,11489,61826,1,2,0,9
19035,Course,2842,97787,3,3,0,10
80846,Course,9023,77870,2,7,0,5
80598,Course,8998,86306,3,7,0,3
43240,Course,5262,86289,1,10,0,6
26028,Course,3541,67696,1,10,0,10
30101,Course,3948,94144,1,3,1,10
110122,Course,11950,82813,1,8,1,7
102654,Course,11204,95611,3,4,0,10
89410,Course,9879,72246,0,7,0,7
85467,Course,9485,94458,2,2,0,7
10267,Course,1965,65624,1,6,0,3
1453,Course,1083,53994,0,10,0,2
36538,Course,4592,60138,2,8,1,10
12330,Course,2171,67212,1,5,0,10
109930,Course,11931,56589,1,2,0,7
72862,Course,8224,54383,3,5,0,7
3347,Course,1272,52673,0,5,0,8
89471,Course,9885,58729,3,2,1,4
80158,Course,8954,55963,1,2,0,10
19193,Course,2857,64085,1,3,0,9
14871,Course,2425,64888,3,6,0,8
40233,Course,4961,92070,3,6,0,7
3135,Course,1251,81258,1,5,0,3
68598,Course,7798,72914,1,8,0,4
73762,Course,8314,56993,2,7,0,6
26019,Course,3540,64917,0,8,0,9
91875,Course,10126,69548,3,10,0,2
43980,Course,5336,65929,0,2,0,5
20004,Course,2939,57117,0,8,0,3
84140,Course,9352,98136,2,8,0,3
99075,Course,10846,59208,3,6,0,8
52574,Course,6196,67294,0,10,0,10
58843,Course,6822,62605,1,6,0,10
76789,Course,8617,50589,2,7,0,2
68435,Course,7782,67293,1,8,0,7
74497,Course,8388,52711,2,10,1,9
4584,Course,1396,54994,3,5,0,3
42665,Course,5205,56726,1,6,0,2
106083,Course,11546,61232,2,9,0,2
73571,Course,8295,50370,3,4,0,4
87848,Course,9723,65893,0,10,0,9
87754,Course,9714,71923,3,5,0,3
7199,Course,1658,94222,3,6,0,8
26866,Course,3625,73583,3,10,0,8
67048,Course,7643,84127,1,3,1,6
107393,Course,11677,57769,1,2,0,7
9331,Course,1871,74260,2,2,0,3
85705,Course,9509,81188,2,2,1,3
77558,Course,8694,82995,1,2,0,5
77013,Course,8639,88475,1,2,0,2
2081,Course,1146,81620,0,5,0,2
44692,Course,5407,55179,0,8,0,7
80819,Course,9020,63038,2,2,0,4
89566,Course,9895,55107,2,6,1,5
54533,Course,6391,71516,0,4,0,2
49654,Course,5904,93048,0,5,1,9
16673,Course,2605,78312,1,10,0,2
98458,Course,10784,66208,0,8,0,7
103646,Course,11303,94792,3,3,0,7
78317,Course,8770,93782,2,2,0,10
39338,Course,4872,63484,3,6,0,7
85742,Course,9512,78416,0,6,1,4
64506,Course,7389,65627,0,5,0,2
63938,Course,7332,89429,1,2,1,10
96290,Course,10567,66652,1,6,1,5
71249,Course,8063,87412,2,6,0,10
60692,Course,7007,64816,1,9,1,10
46913,Course,5629,62930,3,5,0,4
98287,Course,10767,90039,0,4,0,9
58864,Course,6825,70445,3,8,0,8
49529,Course,5891,88616,1,3,0,5
29404,Course,3879,73450,1,3,0,2
79894,Course,8928,94016,3,8,0,8
95634,Course,10502,61252,1,3,1,7
6223,Course,1560,61268,2,2,0,4
91289,Course,10067,82835,3,6,0,9
66936,Course,7632,84629,1,6,0,9
7714,Course,1709,71017,3,5,0,9
105392,Course,11477,92444,0,10,0,9
83733,Course,9311,76014,2,6,0,4
19410,Course,2879,65014,2,6,0,3
88476,Course,9786,96438,1,7,0,5
103124,Course,11251,62446,3,4,1,6
57575,Course,6696,57936,3,8,0,5
78155,Course,8754,61688,3,3,0,6
95481,Course,10486,74740,0,9,0,3
80169,Course,8955,79506,0,10,0,5
24754,Course,3414,79381,0,8,1,9
107826,Course,11721,61596,1,6,0,2
99619,Course,10900,91372,3,3,0,8
32429,Course,4181,53033,1,9,0,10
81701,Course,9108,52157,2,9,0,3
34275,Course,4366,78366,1,2,0,4
19798,Course,2918,94582,0,8,0,2
58590,Course,6797,73827,0,10,0,7
27400,Course,3678,66311,2,7,0,3
89240,Course,9862,65318,0,8,0,3
80196,Course,8958,97367,2,2,0,9
64455,Course,7384,51846,2,4,1,5
20086,Course,2947,85332,3,9,0,7
80747,Course,9013,56272,2,2,0,7
71115,Course,8050,59386,3,10,0,3
7468,Course,1685,75096,2,6,0,8
96006,Course,10539,97052,0,8,0,3
86862,Course,9624,90524,3,10,0,4
62960,Course,7234,87509,0,10,0,9
20323,Course,2970,79038,0,4,0,2
45189,Course,5457,79814,3,2,0,4
14586,Course,2397,75014,0,2,0,7
87963,Course,9734,56267,0,5,0,7
19630,Course,2901,56612,0,4,0,6
23943,Course,3332,65179,3,5,0,4
40871,Course,5025,72373,0,3,0,6
71887,Course,8127,98092,3,5,0,6
109822,Course,11920,69836,0,7,1,6
51504,Course,6089,83679,1,8,0,6
26029,Course,3541,52207,3,3,0,4
